"OSIS_id","Chapter","Verse","ParsingCodePOS","ParsingCodeDetails","TextWithPunctuation","WordWithPunctuationStripped","NormalizedWord","Lemma"
60,01,01,"N","NSM","Πέτρος","Πέτρος","Πέτρος","Πέτρος"
60,01,01,"N","NSM","ἀπόστολος","ἀπόστολος","ἀπόστολος","ἀπόστολος"
60,01,01,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
60,01,01,"N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
60,01,01,"A","DPM","ἐκλεκτοῖς","ἐκλεκτοῖς","ἐκλεκτοῖς","ἐκλεκτός"
60,01,01,"A","DPM","παρεπιδήμοις","παρεπιδήμοις","παρεπιδήμοις","παρεπίδημος"
60,01,01,"N","GSF","διασπορᾶς","διασπορᾶς","διασπορᾶς","διασπορά"
60,01,01,"N","GSM","Πόντου,","Πόντου","Πόντου","Πόντος"
60,01,01,"N","GSF","Γαλατίας,","Γαλατίας","Γαλατίας","Γαλατία"
60,01,01,"N","GSF","Καππαδοκίας,","Καππαδοκίας","Καππαδοκίας","Καππαδοκία"
60,01,01,"N","GSF","Ἀσίας,","Ἀσίας","Ἀσίας","Ἀσία"
60,01,01,"C",NULL,"καὶ","καὶ","καί","καί"
60,01,01,"N","GSF","Βιθυνίας,","Βιθυνίας","Βιθυνίας","Βιθυνία"
60,01,02,"P",NULL,"κατὰ","κατὰ","κατά","κατά"
60,01,02,"N","ASF","πρόγνωσιν","πρόγνωσιν","πρόγνωσιν","πρόγνωσις"
60,01,02,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
60,01,02,"N","GSM","πατρός,","πατρός","πατρός","πατήρ"
60,01,02,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
60,01,02,"N","DSM","ἁγιασμῷ","ἁγιασμῷ","ἁγιασμῷ","ἁγιασμός"
60,01,02,"N","GSN","πνεύματος,","πνεύματος","πνεύματος","πνεῦμα"
60,01,02,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
60,01,02,"N","ASF","ὑπακοὴν","ὑπακοὴν","ὑπακοήν","ὑπακοή"
60,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
60,01,02,"N","ASM","ῥαντισμὸν","ῥαντισμὸν","ῥαντισμόν","ῥαντισμός"
60,01,02,"N","GSN","αἵματος","αἵματος","αἵματος","αἷμα"
60,01,02,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
60,01,02,"N","GSM","Χριστοῦ·","Χριστοῦ","Χριστοῦ","Χριστός"
60,01,02,"N","NSF","χάρις","χάρις","χάρις","χάρις"
60,01,02,"RP","DP","ὑμῖν","ὑμῖν","ὑμῖν","σύ"
60,01,02,"C",NULL,"καὶ","καὶ","καί","καί"
60,01,02,"N","NSF","εἰρήνη","εἰρήνη","εἰρήνη","εἰρήνη"
60,01,02,"V","3APO-S","πληθυνθείη.","πληθυνθείη","πληθυνθείη","πληθύνω"
60,01,03,"A","NSM","Εὐλογητὸς","Εὐλογητὸς","εὐλογητός","εὐλογητός"
60,01,03,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
60,01,03,"N","NSM","θεὸς","θεὸς","θεός","θεός"
60,01,03,"C",NULL,"καὶ","καὶ","καί","καί"
60,01,03,"N","NSM","πατὴρ","πατὴρ","πατήρ","πατήρ"
60,01,03,"RA","GSM","τοῦ","τοῦ","τοῦ","ὁ"
60,01,03,"N","GSM","κυρίου","κυρίου","κυρίου","κύριος"
60,01,03,"RP","GP","ἡμῶν","ἡμῶν","ἡμῶν","ἐγώ"
60,01,03,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
60,01,03,"N","GSM","Χριστοῦ,","Χριστοῦ","Χριστοῦ","Χριστός"
60,01,03,"RA","NSM","ὁ","ὁ","ὁ","ὁ"
60,01,03,"P",NULL,"κατὰ","κατὰ","κατά","κατά"
60,01,03,"RA","ASN","τὸ","τὸ","τό","ὁ"
60,01,03,"A","ASN","πολὺ","πολὺ","πολύ","πολύς"
60,01,03,"RP","GSM","αὐτοῦ","αὐτοῦ","αὐτοῦ","αὐτός"
60,01,03,"N","ASN","ἔλεος","ἔλεος","ἔλεος","ἔλεος"
60,01,03,"V","AAPNSM","ἀναγεννήσας","ἀναγεννήσας","ἀναγεννήσας","ἀναγεννάω"
60,01,03,"RP","AP","ἡμᾶς","ἡμᾶς","ἡμᾶς","ἐγώ"
60,01,03,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
60,01,03,"N","ASF","ἐλπίδα","ἐλπίδα","ἐλπίδα","ἐλπίς"
60,01,03,"V","PAPASF","ζῶσαν","ζῶσαν","ζῶσαν","ζάω"
60,01,03,"P",NULL,"δι’","δι’","διά","διά"
60,01,03,"N","GSF","ἀναστάσεως","ἀναστάσεως","ἀναστάσεως","ἀνάστασις"
60,01,03,"N","GSM","Ἰησοῦ","Ἰησοῦ","Ἰησοῦ","Ἰησοῦς"
60,01,03,"N","GSM","Χριστοῦ","Χριστοῦ","Χριστοῦ","Χριστός"
60,01,03,"P",NULL,"ἐκ","ἐκ","ἐκ","ἐκ"
60,01,03,"A","GPM","νεκρῶν,","νεκρῶν","νεκρῶν","νεκρός"
60,01,04,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
60,01,04,"N","ASF","κληρονομίαν","κληρονομίαν","κληρονομίαν","κληρονομία"
60,01,04,"A","ASF","ἄφθαρτον","ἄφθαρτον","ἄφθαρτον","ἄφθαρτος"
60,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
60,01,04,"A","ASF","ἀμίαντον","ἀμίαντον","ἀμίαντον","ἀμίαντος"
60,01,04,"C",NULL,"καὶ","καὶ","καί","καί"
60,01,04,"A","ASF","ἀμάραντον,","ἀμάραντον","ἀμάραντον","ἀμάραντος"
60,01,04,"V","XPPASF","τετηρημένην","τετηρημένην","τετηρημένην","τηρέω"
60,01,04,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
60,01,04,"N","DPM","οὐρανοῖς","οὐρανοῖς","οὐρανοῖς","οὐρανός"
60,01,04,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
60,01,04,"RP","AP","ὑμᾶς","ὑμᾶς","ὑμᾶς","σύ"
60,01,05,"RA","APM","τοὺς","τοὺς","τούς","ὁ"
60,01,05,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
60,01,05,"N","DSF","δυνάμει","δυνάμει","δυνάμει","δύναμις"
60,01,05,"N","GSM","θεοῦ","θεοῦ","θεοῦ","θεός"
60,01,05,"V","PPPAPM","φρουρουμένους","φρουρουμένους","φρουρουμένους","φρουρέω"
60,01,05,"P",NULL,"διὰ","διὰ","διά","διά"
60,01,05,"N","GSF","πίστεως","πίστεως","πίστεως","πίστις"
60,01,05,"P",NULL,"εἰς","εἰς","εἰς","εἰς"
60,01,05,"N","ASF","σωτηρίαν","σωτηρίαν","σωτηρίαν","σωτηρία"
60,01,05,"A","ASF","ἑτοίμην","ἑτοίμην","ἑτοίμην","ἕτοιμος"
60,01,05,"V","APN","ἀποκαλυφθῆναι","ἀποκαλυφθῆναι","ἀποκαλυφθῆναι","ἀποκαλύπτω"
60,01,05,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
60,01,05,"N","DSM","καιρῷ","καιρῷ","καιρῷ","καιρός"
60,01,05,"A","DSM","ἐσχάτῳ.","ἐσχάτῳ","ἐσχάτῳ","ἔσχατος"
60,01,06,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
60,01,06,"RR","DSM","ᾧ","ᾧ","ᾧ","ὅς"
60,01,06,"V","2PMI-P","ἀγαλλιᾶσθε,","ἀγαλλιᾶσθε","ἀγαλλιᾶσθε","ἀγαλλιάω"
60,01,06,"A","ASN","ὀλίγον","ὀλίγον","ὀλίγον","ὀλίγος"
60,01,06,"D",NULL,"ἄρτι","ἄρτι","ἄρτι","ἄρτι"
60,01,06,"C",NULL,"εἰ","εἰ","εἰ","εἰ"
60,01,06,"V","PAPNSN","⸀δέον","δέον","δέον","δέω"
60,01,06,"V","APPNPM","λυπηθέντες","λυπηθέντες","λυπηθέντες","λυπέω"
60,01,06,"P",NULL,"ἐν","ἐν","ἐν","ἐν"
60,01,06,"A","DPM","ποικίλοις","ποικίλοις","ποικίλοις","ποικίλος"
